Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Read blend: "/Users/chikumatsuboi/Code/animal-racers-western/assets/source/western/revision2/inputs/lion.blend"
Fra:1 Mem:36.01M (Peak 36.01M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Expressive brow
Fra:1 Mem:36.02M (Peak 36.02M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.021
Fra:1 Mem:36.02M (Peak 36.02M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Smiling mouth
Fra:1 Mem:36.03M (Peak 36.03M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.020
Fra:1 Mem:36.03M (Peak 36.03M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore
Fra:1 Mem:36.04M (Peak 36.04M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.019
Fra:1 Mem:36.04M (Peak 36.04M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.001
Fra:1 Mem:36.05M (Peak 36.05M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.018
Fra:1 Mem:36.07M (Peak 36.07M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.002
Fra:1 Mem:36.06M (Peak 36.07M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.017
Fra:1 Mem:36.07M (Peak 36.07M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye socket.001
Fra:1 Mem:36.07M (Peak 36.07M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.016
Fra:1 Mem:36.11M (Peak 36.11M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.015
Fra:1 Mem:36.14M (Peak 36.14M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.014
Fra:1 Mem:36.14M (Peak 36.14M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ivory eye.001
Fra:1 Mem:36.15M (Peak 36.15M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.013
Fra:1 Mem:36.18M (Peak 36.18M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.012
Fra:1 Mem:36.19M (Peak 36.19M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Iris.001
Fra:1 Mem:36.20M (Peak 36.20M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.011
Fra:1 Mem:36.23M (Peak 36.23M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.010
Fra:1 Mem:36.24M (Peak 36.24M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pupil.001
Fra:1 Mem:36.24M (Peak 36.24M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.009
Fra:1 Mem:36.27M (Peak 36.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.008
Fra:1 Mem:36.27M (Peak 36.27M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Eye glint.001
Fra:1 Mem:36.29M (Peak 36.29M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.007
Fra:1 Mem:36.30M (Peak 36.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Expressive brow.001
Fra:1 Mem:36.30M (Peak 36.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.006
Fra:1 Mem:36.30M (Peak 36.30M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Smiling mouth.001
Fra:1 Mem:36.31M (Peak 36.31M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.005
Fra:1 Mem:36.31M (Peak 36.31M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.003
Fra:1 Mem:36.32M (Peak 36.32M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.004
Fra:1 Mem:36.32M (Peak 36.32M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.004
Fra:1 Mem:36.33M (Peak 36.33M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.003
Fra:1 Mem:36.35M (Peak 36.35M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Whisker pore.005
Fra:1 Mem:36.34M (Peak 36.35M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sculpted mane lock.002
Fra:1 Mem:36.35M (Peak 36.35M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Lower jaw
